date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,221
¹;;S;I;R;;S;I;R;;S;E;I;R
79;;46786778;85610;67612;;46768825;85573;85602;0,081;46939525;142;183;150
80;;46781727;86524;71749;;46761924;86484;91592;0,079;46939485;154;199;163
81;;46776973;87312;75715;;46755085;87269;97646;0,069;46939441;167;216;177
82;;46773169;87231;79600;;46749060;87185;103754;0,075;46939393;182;234;192
83;;46769901;87616;82483;;46742576;87566;109857;0,063;46939341;197;254;208
84;;46767459;86981;85560;;46737084;86928;115987;0,083;46939285;214;276;226
85;;46762356;88083;89561;;46729902;88025;122072;0,102;46939224;232;299;245
86;;46755052;90836;94112;;46720996;90770;128234;0,128;46939157;252;325;266
87;;46749161;96040;94799;;46709450;95962;134588;0,079;46939085;274;352;289
88;;46748274;96886;94840;;46701894;96801;141305;0,112;46939007;297;383;314
89;;46741326;100864;97810;;46691154;100765;148081;0,049;46938923;322;415;340
90;;46739790;98771;101439;;46686197;98668;155134;0,087;46938831;350;451;369
91;;46735822;100382;103796;;46677690;100268;162041;0,074;46938731;380;489;401
92;;46731611;100757;107632;;46670306;100633;169060;0,079;46938623;412;531;435
93;;46726976;101617;111407;;46662413;101482;176104;0,103;46938505;447;576;472
94;;46720236;104885;114879;;46652060;104731;183208;0,073;46938378;485;625;513
95;;46716241;105149;118610;;46644477;104984;190539;-0,115;46938239;526;678;556
96;;46713371;85712;140917;;46656516;85596;197888;0,063;46938089;571;736;604
97;;46710578;85069;144353;;46651173;84947;203880;0,062;46937926;620;799;655
98;;46707872;84403;147725;;46645898;84275;209826;0,014;46937750;673;867;711
99;;46703101;79695;157204;;46644701;79573;215725;0,034;46937558;730;941;772
100;;46726565;76842;136593;;46641983;76721;221295;0,070;46937349;792;1021;838
101;;46726565;76842;136593;;46636622;76711;226666;0,036;46937123;860;1108;909
102;;46723418;74234;142348;;46633861;74102;232036;0,058;46936878;933;1202;987
103;;46722534;73300;144166;;46629615;73162;237223;0,042;46936612;1013;1305;1071
104;;46721989;71240;146771;;46626556;71100;242344;0,056;46936323;1099;1416;1162
105;;46720671;70230;149099;;46622595;70083;247321;0,045;46936010;1193;1537;1262
106;;46719675;68466;151859;;46619456;68316;252227;0,047;46935669;1294;1668;1369
107;;46718553;66866;154581;;46616277;66713;257009;0,048;46935300;1405;1810;1486
108;;46717143;65410;157447;;46613067;65253;261679;0,036;46934900;1524;1964;1613
109;;46716422;63148;160430;;46610761;62992;266247;0,045;46934465;1654;2131;1750
