date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,193
¹;;S;I;R;;S;I;R;;S;E;I;R
93;;8674377;9000;5803;;8664392;8987;15801;0,055;8689036;38;54;52
94;;8674122;8861;6197;;8663902;8848;16430;0,048;8689026;41;58;56
95;;8673882;8664;6634;;8663480;8650;17050;0,052;8689015;44;62;60
96;;8673737;8511;6932;;8663028;8497;17655;0,028;8689003;47;67;64
97;;8673625;8151;7404;;8662793;8137;18250;0,024;8688990;51;71;69
98;;8673452;7772;7956;;8662602;7759;18820;0,020;8688976;54;77;74
99;;8673346;7386;8448;;8662444;7373;19363;0,040;8688961;58;82;79
100;;8673234;7163;8783;;8662151;7150;19879;0,008;8688945;63;88;85
101;;8673079;6720;9381;;8662093;6708;20379;0,017;8688928;67;94;91
102;;8672995;6363;9822;;8661980;6351;20849;0,049;8688910;72;101;97
103;;8672972;6227;9981;;8661671;6215;21293;0,025;8688890;77;108;105
104;;8672934;5947;10299;;8661516;5936;21729;0,009;8688869;83;116;112
105;;8672891;5586;10703;;8661461;5575;22144;0,043;8688847;89;125;120
106;;8672870;5434;10876;;8661223;5423;22534;0,040;8688823;95;134;129
107;;8672799;5268;11113;;8661009;5257;22914;0,012;8688797;102;143;138
108;;8672744;4962;11474;;8660947;4952;23282;0,044;8688769;109;154;148
109;;8672726;4831;11623;;8660731;4821;23629;0,063;8688740;117;165;159
110;;8672703;4795;11682;;8660430;4784;23966;-0,011;8688708;126;177;171
111;;8672674;4405;12101;;8660484;4395;24301;0,020;8688673;135;189;183
112;;8672651;4186;12343;;8660395;4177;24609;0,038;8688637;144;203;196
113;;8672632;4052;12496;;8660236;4043;24901;0,006;8688597;155;218;211
114;;8672601;3793;12786;;8660212;3784;25184;0,055;8688555;166;234;226
115;;8672591;3736;12853;;8660004;3727;25449;0,003;8688510;178;250;242
116;;8672572;3485;13123;;8659994;3477;25710;0,047;8688462;191;268;260
117;;8672563;3403;13214;;8659832;3395;25953;-0,015;8688410;205;288;279
118;;8672537;3114;13529;;8659883;3107;26191;0,016;8688354;219;309;299
119;;8672521;2946;13713;;8659833;2939;26408;0,049;8688294;235;331;320
120;;8672513;2884;13783;;8659690;2877;26614;-0,001;8688230;252;355;343
121;;8672497;2680;14003;;8659692;2673;26815;0,001;8688162;270;380;368
122;;8672490;2496;14194;;8659688;2490;27002;0,009;8688088;290;408;395
123;;8672468;2343;14369;;8659666;2337;27177;0,045;8688009;311;437;423
124;;8672463;2285;14432;;8659561;2279;27340;0,009;8687925;333;469;454
125;;8672446;2146;14588;;8659540;2140;27500;0,011;8687834;357;503;487
126;;8672423;2019;14738;;8659517;2014;27650;0,032;8687737;383;539;522
127;;8672387;1942;14851;;8659453;1937;27791;0,053;8687632;411;578;560
128;;8672308;1909;14963;;8659350;1904;27926;0,080;8687521;440;619;600
129;;8672193;1927;15060;;8659199;1921;28060;0,065;8687401;472;664;644
130;;8672168;1917;15095;;8659075;1911;28194;0,100;8687272;506;712;690
131;;8672109;1974;15097;;8658885;1968;28328;0,086;8687135;543;764;740
132;;8672011;2006;15163;;8658715;2000;28466;0,095;8686987;582;819;793
133;;8671895;2055;15230;;8658527;2048;28606;0,094;8686828;624;878;851
134;;8671803;2103;15274;;8658336;2096;28749;0,112;8686659;669;941;912
135;;8671685;2191;15304;;8658102;2183;28896;0,095;8686477;717;1009;978
136;;8671618;2245;15317;;8657895;2236;29048;0,146;8686281;769;1082;1049
137;;8671428;2415;15337;;8657570;2405;29205;0,095;8686072;824;1160;1124
138;;8671317;2474;15389;;8657343;2464;29373;0,134;8685848;884;1243;1205
139;;8671148;2632;15400;;8657014;2620;29546;0,104;8685607;948;1333;1293
140;;8671000;2722;15458;;8656741;2710;29729;0,131;8685349;1016;1429;1386
141;;8670825;2888;15467;;8656387;2874;29919;0,116;8685073;1089;1533;1486
142;;8670611;3019;15550;;8656056;3004;30120;0,133;8684777;1168;1643;1593
143;;8670385;3207;15588;;8655659;3190;30330;0,104;8684459;1252;1762;1708
144;;8670208;3315;15657;;8655573;3054;30554;0,000;8684118;1342;1889;1832
145;;;;;;8655491;2921;30767;0,026;8683753;1439;2025;1964
146;;;;;;8655415;2793;30972;0,026;8683361;1543;2171;2105
147;;;;;;8655344;2669;31167;0,025;8682941;1654;2328;2257
148;;;;;;8655277;2549;31354;0,025;8682491;1773;2496;2420
149;;;;;;8655215;2433;31533;0,024;8682009;1901;2676;2595
150;;;;;;8655156;2321;31703;0,024;8681492;2038;2868;2782
151;;;;;;8655102;2213;31865;0,023;8680937;2185;3075;2983
152;;;;;;8655050;2109;32020;0,023;8680343;2343;3297;3198
153;;;;;;8655003;2009;32168;0,022;8679705;2511;3535;3429
154;;;;;;8654958;1913;32309;0,022;8679022;2692;3790;3677
