date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,214
¹;;S;I;R;;S;I;R;;S;E;I;R
94;;4885816;7937;10247;;4881022;7936;15042;0,112;4903851;44;57;49
95;;4885439;8265;10296;;4880139;8263;15597;0,152;4903839;47;62;53
96;;4884738;8942;10320;;4878886;8939;16176;0,112;4903825;51;67;57
97;;4884352;9313;10335;;4877890;9308;16801;0,089;4903811;55;73;62
98;;4884123;9485;10392;;4877068;9479;17453;-0,333;4903796;60;79;67
99;;4883747;5677;14576;;4880205;5678;18117;0,126;4903779;64;85;72
100;;4883388;5994;14618;;4879491;5995;18514;0,102;4903761;70;92;78
101;;4883167;6182;14651;;4878884;6182;18934;0,123;4903741;75;99;85
102;;4882824;6504;14672;;4878130;6503;19366;0,119;4903720;82;108;92
103;;4882494;6817;14689;;4877363;6816;19822;0,107;4903697;88;116;99
104;;4882228;7067;14705;;4876636;7065;20299;0,097;4903672;95;126;107
105;;4882017;7258;14725;;4875952;7255;20793;-0,413;4903645;103;136;116
106;;4881752;3763;18485;;4878934;3765;21301;0,099;4903616;112;147;126
107;;4881615;3872;18513;;4878561;3874;21565;0,104;4903585;121;159;136
108;;4881459;4002;18539;;4878160;4004;21836;0,121;4903551;131;172;147
109;;4881240;4204;18556;;4877678;4206;22116;0,124;4903514;141;186;159
110;;4881004;4428;18568;;4877160;4429;22411;0,100;4903474;153;202;172
111;;4880865;4558;18577;;4876720;4559;22721;0,089;4903431;165;218;186
112;;4880758;4644;18598;;4876316;4645;23040;-0,408;4903384;179;236;202
113;;4880599;2434;20967;;4878199;2436;23365;0,242;4903334;193;255;218
114;;4880173;2851;20976;;4877611;2853;23535;0,112;4903280;209;276;236
115;;4880044;2968;20988;;4877295;2970;23735;0,096;4903221;226;298;255
116;;4879952;3045;21003;;4877010;3047;23943;0,088;4903157;245;323;276
117;;4879888;3099;21013;;4876743;3101;24156;0,098;4903088;265;349;299
118;;4879800;3183;21017;;4876442;3185;24373;0,082;4903014;286;378;323
119;;4879749;3220;21031;;4876182;3222;24596;-0,409;4902933;310;408;350
120;;4879685;1684;22631;;4877492;1686;24822;0,109;4902846;335;442;378
121;;4879609;1748;22643;;4877310;1750;24940;0,131;4902751;362;478;409
122;;4879494;1854;22652;;4877082;1856;25062;0,105;4902649;392;517;443
123;;4879418;1918;22664;;4876888;1920;25192;0,098;4902539;424;559;479
124;;4879361;1971;22668;;4876701;1973;25327;0,101;4902420;458;605;518
125;;4879302;2032;22666;;4876502;2034;25465;0,084;4902290;496;654;560
126;;4879265;2060;22675;;4876331;2062;25607;-0,406;4902151;536;707;606
127;;4879197;1083;23720;;4877164;1084;25751;0,098;4902000;580;765;655
128;;4879159;1113;23728;;4877058;1114;25827;0,097;4901836;627;828;709
129;;4879124;1142;23734;;4876951;1143;25905;0,112;4901660;679;895;767
130;;4879071;1189;23740;;4876824;1190;25985;0,121;4901469;734;968;830
131;;4879010;1249;23741;;4876681;1250;26069;0,130;4901262;794;1047;897
132;;4878938;1323;23739;;4876520;1324;26156;0,067;4901038;859;1133;971
133;;4878934;1319;23747;;4876431;1320;26249;-0,360;4900797;929;1225;1050
134;;4878889;754;24357;;4876904;755;26341;0,105;4900535;1005;1325;1136
135;;4878858;780;24362;;4876825;781;26394;0,090;4900252;1087;1433;1229
136;;4878837;795;24368;;4876755;796;26449;0,086;4899946;1175;1550;1329
137;;4878817;807;24376;;4876688;808;26504;0,092;4899615;1271;1677;1437
138;;4878799;824;24377;;4876614;825;26561;0,073;4899257;1375;1814;1555
139;;4878793;826;24381;;4876554;827;26619;0,070;4898870;1487;1962;1682
140;;4878785;826;24389;;4876497;827;26677;0,085;4898452;1608;2122;1819
141;;4878769;838;24393;;4876427;839;26735;5,209;4897999;1739;2295;1968
142;;4873940;5122;24938;;4872082;5125;26793;0,075;4897510;1881;2482;2128
143;;4873912;5147;24941;;4871698;5150;27152;0,080;4896980;2034;2684;2302
