date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,249
¹;;S;I;R;;S;I;R;;S;E;I;R
96;;9464537;8696;1767;;9460739;8692;5569;0,160;9474615;126;151;108
97;;9463711;9474;1815;;9459353;9469;6178;0,140;9474578;139;166;119
98;;9462792;10136;2072;;9458029;10130;6840;0,158;9474537;152;182;130
99;;9461819;11025;2156;;9456433;11018;7550;0,118;9474491;167;199;143
100;;9460973;11552;2475;;9455135;11544;8321;0,101;9474442;183;219;157
101;;9460083;11906;3011;;9453974;11897;9129;0,130;9474387;201;240;172
102;;9459172;12614;3214;;9452435;12603;9962;0,133;9474328;220;263;189
103;;9458295;13410;3295;;9450759;13398;10844;0,124;9474262;242;289;208
104;;9457511;14127;3362;;9449106;14113;11782;0,095;9474190;265;317;228
105;;9456650;14472;3878;;9447775;14456;12770;0,090;9474111;291;348;250
106;;9455745;14755;4500;;9446481;14738;13782;0,086;9474025;319;382;274
107;;9454832;14985;5183;;9445221;14966;14813;0,104;9473930;351;419;301
108;;9453899;15496;5605;;9443665;15475;15861;0,095;9473826;385;460;330
109;;9452948;15876;6176;;9442203;15853;16944;0,106;9473711;422;505;363
110;;9452027;16436;6537;;9440537;16410;18054;0,119;9473586;463;554;398
111;;9451094;17240;6666;;9438587;17210;19202;0,100;9473448;508;608;437
112;;9450127;17757;7116;;9436869;17724;20407;0,082;9473297;558;667;479
113;;9449175;17968;7857;;9435420;17933;21648;0,097;9473131;612;732;526
114;;9448228;18453;8319;;9433683;18414;22903;0,087;9472949;671;803;577
115;;9447270;18767;8963;;9432083;18725;24192;0,084;9472750;737;881;633
116;;9446319;19023;9658;;9430519;18978;25503;0,098;9472531;808;966;695
117;;9445350;19553;10097;;9428665;19504;26831;0,107;9472291;887;1060;763
118;;9444428;20271;10301;;9426587;20216;28197;0,092;9472027;973;1164;837
119;;9443492;20713;10795;;9424735;20653;29612;0,076;9471738;1068;1277;918
120;;9442574;20832;11594;;9423174;20769;31058;0,085;9471420;1172;1401;1008
121;;9441629;21129;12242;;9421427;21062;32511;0,077;9471072;1286;1537;1106
122;;9440697;21280;13023;;9419806;21209;33986;0,082;9470690;1411;1687;1213
123;;9439756;21522;13722;;9418084;21446;35470;0,085;9470270;1548;1851;1331
