date:;01-22-2020;;;;;SIR;;;;SEIR;beta_SEIR:;0,192
¹;;S;I;R;;S;I;R;;S;E;I;R
79;;37569346;14989;5665;;37565263;14987;9751;0,114;37589430;150;213;207
80;;37567941;15647;6412;;37563557;15645;10800;0,097;37589389;161;228;222
81;;37566684;16073;7243;;37562036;16070;11895;0,094;37589346;173;244;238
82;;37565701;16463;7836;;37560521;16460;13020;0,111;37589299;185;262;255
83;;37564320;17142;8538;;37558690;17139;14172;0,116;37589249;198;280;274
84;;37562965;17925;9110;;37556708;17921;15372;0,087;37589195;212;300;293
85;;37561791;18236;9973;;37555143;18232;16626;0,159;37589137;227;322;314
86;;37559191;19853;10956;;37552250;19848;17902;0,124;37589075;244;345;337
87;;37557186;20914;11900;;37549801;20908;19292;0,122;37589009;261;369;361
88;;37555644;21992;12364;;37547260;21986;20755;0,081;37588938;280;396;387
89;;37554367;22222;13411;;37545491;22215;22294;0,123;37588863;300;424;414
90;;37552342;23389;14269;;37542770;23381;23850;0,109;37588781;321;454;444
91;;37550598;24305;15097;;37540219;24296;25486;0,104;37588694;344;487;476
92;;37548350;25119;16531;;37537705;25109;27187;0,117;37588601;369;521;510
93;;37546714;26284;17002;;37534783;26273;28945;0,079;37588501;395;559;546
94;;37545944;26521;17535;;37532708;26509;30784;0,086;37588393;423;598;585
95;;37544507;26931;18562;;37530443;26918;32639;0,095;37588279;453;641;627
96;;37542853;27601;19546;;37527890;27587;34524;0,103;37588156;486;687;672
97;;37540384;28507;21109;;37525055;28491;36455;0,085;37588024;520;736;720
98;;37538850;28936;22214;;37522633;28919;38449;0,086;37587882;558;789;772
99;;37537135;29383;23482;;37520163;29365;40473;0,082;37587731;597;845;827
100;;37535543;29723;24734;;37517768;29704;42529;0,081;37587569;640;905;886
101;;37533657;30042;26301;;37515372;30021;44608;0,083;37587395;686;970;950
102;;37532074;30428;27498;;37512885;30406;46710;0,115;37587209;735;1039;1017
103;;37529496;31788;28716;;37509400;31763;48838;0,074;37587010;787;1113;1090
104;;37528043;31924;30033;;37507042;31898;51062;0,073;37586796;843;1193;1168
105;;37526785;32019;31196;;37504715;31991;53294;0,074;37586567;904;1278;1252
106;;37525306;32144;32550;;37502352;32115;55534;0,078;37586322;968;1369;1341
107;;37523799;32400;33801;;37499850;32369;57782;0,081;37586059;1037;1467;1437
108;;37522326;32738;34936;;37497248;32705;60048;0,073;37585778;1111;1572;1540
109;;37521082;32833;36085;;37494866;32798;62337;0,075;37585476;1191;1684;1650
110;;37519909;32991;37100;;37492414;32954;64633;0,075;37585153;1276;1804;1768
111;;37518736;33142;38122;;37489958;33103;66940;0,068;37584807;1367;1933;1894
112;;37517581;33064;39355;;37487720;33024;69257;0,067;37584436;1464;2071;2029
113;;37516432;32966;40602;;37485508;32924;71569;0,074;37584039;1569;2219;2174
114;;37515219;33085;41696;;37483087;33041;73873;0,079;37583613;1681;2377;2329
115;;37514041;33372;42587;;37480489;33325;76186;0,076;37583157;1801;2547;2496
116;;37512794;33574;43632;;37477957;33525;78519;0,079;37582668;1929;2729;2674
117;;37511668;33866;44466;;37475321;33814;80866;0,080;37582144;2067;2924;2865
118;;37510589;34200;45211;;37472623;34145;83233;0,076;37581584;2215;3133;3070
119;;37509507;34396;46097;;37470040;34338;85623;0,077;37580983;2373;3356;3289
120;;37508425;34632;46943;;37467404;34571;88026;0,073;37580339;2542;3596;3524
121;;37507258;34744;47998;;37464875;34680;90446;0,077;37579649;2723;3852;3776
122;;37506053;34979;48968;;37462216;34911;92874;0,081;37578910;2918;4127;4045
123;;37504849;35367;49784;;37459388;35295;95318;0,076;37578118;3126;4422;4334
124;;37503894;35574;50532;;37456714;35499;97788;0,077;37577270;3349;4738;4644
125;;37502881;35813;51306;;37453994;35734;100273;0,075;37576361;3588;5076;4976
126;;37501910;35985;52105;;37451324;35902;102775;0,067;37575387;3844;5438;5331
127;;37501011;35865;53124;;37448934;35779;105288;0,075;37574344;4119;5827;5712
128;;37500024;36033;53943;;37446266;35943;107792;0,068;37573226;4413;6242;6119
129;;37499091;35941;54968;;37443845;35848;110308;0,072;37572029;4727;6688;6556
130;;37498319;36005;55676;;37441276;35908;112818;0,067;37570746;5065;7165;7025
131;;37497521;35892;56587;;37438879;35791;115331;0,067;37569372;5426;7677;7526
132;;37496712;35793;57495;;37436476;35689;117837;0,069;37567899;5813;8225;8063
133;;37496040;35758;58202;;37434016;35650;120335;0,065;37566322;6228;8811;8639
134;;37495359;35556;59085;;37431726;35445;122830;0,065;37564632;6672;9440;9256
135;;37494731;35368;59901;;37429436;35253;125311;0,062;37562822;7148;10114;9917
136;;37494053;35095;60852;;37427244;34977;127779;0,054;37560882;7658;10836;10625
137;;37493525;34538;61937;;37425354;34419;130228;0,073;37558804;8204;11609;11383
138;;37492822;34626;62552;;37422862;34502;132637;0,067;37556579;8789;12437;12196
139;;37492221;34526;63253;;37420551;34398;135052;0,059;37554194;9416;13324;13066
140;;37491759;34154;64087;;37418517;34024;137460;0,050;37551640;10087;14275;13999
141;;37491280;33467;65253;;37416824;33336;139842;0,055;37548903;10806;15293;14998
142;;37490841;32957;66202;;37415002;32824;142175;0,054;37545972;11576;16384;16069
143;;37490405;32436;67159;;37413226;32302;144473;0,057;37542831;12401;17552;17216
144;;37489957;32009;68034;;37410988;32279;146734;0,000;37539467;13285;18804;18444
145;;;;;;37408769;32238;148993;0,069;37535864;14232;20144;19761
146;;;;;;37406571;32180;151250;0,068;37532004;15246;21581;21171
147;;;;;;37404394;32104;153503;0,067;37527869;16331;23119;22681
148;;;;;;37402240;32011;155750;0,067;37523439;17494;24767;24300
149;;;;;;37400110;31901;157991;0,066;37518695;18740;26532;26033
150;;;;;;37398004;31774;160224;0,066;37513613;20074;28423;27891
151;;;;;;37395923;31630;162448;0,065;37508170;21502;30448;29880
152;;;;;;37393868;31471;164662;0,065;37502340;23032;32617;32012
153;;;;;;37391840;31296;166865;0,064;37496095;24670;34940;34295
154;;;;;;37389839;31106;169056;0,064;37489407;26425;37429;36741
155;;;;;;37387867;30901;171233;0,063;37482243;28303;40094;39361
156;;;;;;37385923;30681;173396;0,063;37474571;30314;42948;42167
157;;;;;;37384009;30448;175544;0,062;37466355;32468;46004;45174
158;;;;;;37382124;30201;177675;0,062;37457556;34773;49277;48394
159;;;;;;37380270;29941;179789;0,061;37448133;37242;52783;51843
160;;;;;;37378447;29669;181885;0,061;37438042;39884;56536;55538
161;;;;;;37376654;29385;183962;0,060;37427237;42713;60555;59496
162;;;;;;37374893;29089;186019;0,060;37415666;45740;64859;63734
163;;;;;;37373164;28782;188055;0,059;37403278;48981;69467;68275
164;;;;;;37371467;28464;190070;0,059;37390013;52449;74401;73137
165;;;;;;37369802;28137;192063;0,058;37375812;56161;79682;78345
166;;;;;;37368169;27800;194032;0,058;37360608;60133;85337;83923
167;;;;;;37366569;27454;195978;0,057;37344331;64382;91390;89897
168;;;;;;37365001;27100;197900;0,057;37326908;68929;97869;96294
169;;;;;;37363467;26738;199797;0,057;37308259;73793;104804;103145
170;;;;;;37361964;26368;201668;0,056;37288298;78995;112226;110481
171;;;;;;37360495;25992;203514;0,056;37266934;84560;120170;118337
172;;;;;;37359058;25610;205334;0,055;37244072;90510;128670;126749
173;;;;;;37357653;25222;207126;0,055;37219607;96873;137765;135756
174;;;;;;37356281;24828;208892;0,054;37193431;103675;147496;145399
175;;;;;;37354941;24430;210630;0,054;37165425;110946;157906;155724
176;;;;;;37353633;24028;212340;0,053;37135465;118716;169042;166777
177;;;;;;37352357;23622;214022;0,053;37103418;127020;180952;178610
178;;;;;;37351113;23213;215675;0,053;37069143;135891;193689;191277
179;;;;;;37349900;22801;217300;0,052;37032489;145367;207309;204835
180;;;;;;37348718;22387;218896;0,052;36993296;155486;221871;219347
181;;;;;;37347567;21971;220463;0,051;36951395;166290;237437;234878
182;;;;;;37346446;21554;222001;0,051;36906605;177822;254075;251498
183;;;;;;37345355;21136;223510;0,051;36858735;190128;271854;269284
184;;;;;;37344294;20717;224990;0,050;36807581;203257;290850;288313
185;;;;;;37343263;20298;226440;0,050;36752928;217258;311142;308673
186;;;;;;37342260;19880;227861;0,049;36694550;232185;332813;330453
187;;;;;;37341286;19463;229252;0,049;36632204;248093;355953;353750
188;;;;;;37340340;19046;230615;0,049;36565637;265041;380655;378667
189;;;;;;37339422;18631;231948;0,048;36494580;283090;407018;405312
190;;;;;;37338531;18218;233252;0,048;36418750;302303;435144;433804
191;;;;;;37337666;17807;234527;0,047;36337847;322745;465145;464264
192;;;;;;37336828;17399;235774;0,047;36251559;344484;497134;496824
193;;;;;;37336016;16994;236992;0,047;36159556;367590;531231;531623
194;;;;;;37335229;16591;238181;0,046;36061493;392136;567563;568809
